201411,0.043675,0.0107,0.675,0.005775,47.475
201412,0.0383,0.0104,0.7225,0.006775,47.625
201501,0.041325,0.010225,0.7475,0.006875,52.05
201502,0.040825,0.01435,0.6875,0.0067,86.1
201503,0.0454,0.0185,0.6375,0.007125,73.075
201504,0.039625,0.0234,0.535,0.005525,46.65
201505,0.040375,0.028475,0.485,0.00605,47.025
201506,0.03575,0.033175,0.4625,0.0052,36.825
201507,0.029775,0.024025,0.43,0.004925,31.7
201508,0.032425,0.025325,0.455,0.00515,35.4
201509,0.0351,0.0222,0.475,0.004525,30.275
201510,0.041205128,0.016923077,0.574358974,0.005230769,47.43589744
201511,0.038153846,0.010461538,0.620512821,0.005076923,36.1025641
201512,0.043051282,0.008307692,0.779487179,0.006025641,51.48717949
201601,0.039128205,0.012358974,0.669230769,0.00625641,52.71794872
201602,0.038102564,0.016179487,0.633333333,0.006205128,48.30769231
201603,0.043307692,0.021769231,0.592307692,0.006282051,66.87179487
201604,0.041974359,0.026794872,0.574358974,0.005538462,73.35897436
201605,0.038282051,0.033641026,0.520512821,0.005307692,58.79487179
201606,0.036564103,0.031820513,0.474358974,0.005051282,47.79487179
201607,0.030923077,0.023,0.435897436,0.004589744,35.66666667
201608,0.030948718,0.025794872,0.451282051,0.004358974,37.12820513
201609,0.033769231,0.023282051,0.525641026,0.004358974,39.82051282
201610,0.035333333,0.015435897,0.541025641,0.004179487,40
201611,0.041,0.012102564,0.661538462,0.004923077,54.94871795
201612,0.041538462,0.008461538,0.738461538,0.005333333,50.61538462
